leto_teden;SARI_sprejeti;SARI_testirani;SARI_potrjeni_covid;SARI_potrjeni_covid_popolnomacepljeni;SARI_potrjeni_covid_ostali_cepstatus;SARI_potrjeni_covid_np_cepstatus;SARI_potrjeni_covid_popolnomacepljeni_>65_let;neSARI_potrjeni_covid;hosp_odkriti_covid;hosp_pridobljeni_covid;smrt_SARI_covid;odpust_SARI_covid;SARI_covid_EIZ;povpstar_SARI_covid;povpstar_umrli_SARI_covid;povprstar_SARI_covid_EIZ;SARI_potrjeni_covid_<5_let ;SARI_potrjeni_covid_5-14_let;SARI_potrjeni_covid_15-24_let;SARI_potrjeni_covid_25-34_let;SARI_potrjeni_covid_35-44_let;SARI_potrjeni_covid_45-54_let;SARI_potrjeni_covid_55-64_let;SARI_potrjeni_covid_65-74_let;SARI_potrjeni_covid_75-84_let;SARI_potrjeni_covid_>85_let;SARI_covid_EIZ_<5_let ;SARI_covid_EIZ_5-14_let;SARI_covid_EIZ_15-24_let;SARI_covid_EIZ_25-34_let;SARI_covid_EIZ_35-44_let;SARI_covid_EIZ_45-54_let;SARI_covid_EIZ_55-64_let;SARI_covid_EIZ_65-74_let;SARI_covid_EIZ_75-84_let;SARI_covid_EIZ_>85_let;smrt_SARI_covid_<5_let ;smrt_SARI_covid_5-14_let;smrt_SARI_covid_15-24_let;smrt_SARI_covid_25-34_let;smrt_SARI_covid_35-44_let;smrt_SARI_covid_45-54_let;smrt_SARI_covid_55-64_let;smrt_SARI_covid_65-74_let;smrt_SARI_covid_75-84_let;smrt_SARI_covid_>85_let
2021_22;273;270;80;6;73;1;3;12;2;0;15;95;14;62;75;68;0;0;3;2;7;12;19;15;17;5;0;0;0;0;0;2;2;5;5;0;0;0;0;0;0;0;4;3;5;3
2021_23;229;220;55;3;52;0;3;7;0;0;17;97;14;60;75;57;1;0;1;2;8;11;8;9;12;3;0;0;0;0;2;5;2;3;2;0;0;0;0;0;0;1;2;4;7;3
2021_24;235;224;35;5;30;0;5;12;0;0;10;56;8;64;74;61;0;0;0;3;2;7;9;2;5;7;0;0;0;0;2;1;1;2;2;0;0;0;0;0;0;1;1;4;2;2
2021_25;174;158;14;0;14;0;0;5;0;0;5;38;2;55;78;36;0;0;1;0;2;3;4;3;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;1
2021_26;156;145;13;1;10;2;1;2;1;0;1;19;3;67;68;61;0;0;0;0;1;1;4;3;2;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0
2021_27;171;156;11;0;9;2;0;4;1;0;4;19;2;55;81;70;0;0;0;0;2;3;3;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;2
2021_28;190;180;4;1;3;0;1;0;0;0;0;14;1;56;;44;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021_29;167;164;6;1;5;0;1;4;1;0;2;4;3;71;70;60;0;0;0;1;0;0;1;1;1;2;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1
2021_30;173;165;18;0;14;4;0;2;1;0;1;14;3;47;67;66;3;2;0;2;1;1;1;4;2;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0
2021_31;155;150;15;3;12;0;3;6;0;0;3;9;3;61;62;62;0;0;0;1;2;4;1;4;1;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;2;0;0
2021_32;203;194;30;3;27;0;3;7;0;0;1;17;5;65;59;65;0;0;0;2;2;5;8;3;4;6;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;1;0;0;0
2021_33;183;180;40;7;32;1;5;25;2;0;9;19;15;61;81;65;0;0;0;1;5;7;10;10;5;2;0;0;0;0;1;0;7;6;0;1;0;0;0;0;0;0;1;2;1;5
2021_34;281;262;107;22;84;1;12;22;3;3;6;41;15;58;80;61;0;0;4;11;7;21;28;15;14;7;0;0;1;0;1;2;5;3;3;0;0;0;0;0;0;0;0;1;3;2
2021_35;351;346;151;28;121;2;23;20;1;1;5;70;35;61;79;58;0;0;4;5;12;42;20;36;18;14;0;0;1;1;2;12;5;12;2;0;0;0;0;0;0;0;0;2;1;2
2021_36;401;392;182;41;140;1;33;23;6;22;14;109;44;63;79;59;0;2;0;3;21;28;35;42;33;18;0;0;0;1;8;8;8;15;4;0;0;0;0;0;0;1;0;3;6;4
2021_37;426;426;215;59;155;1;51;19;10;8;26;135;58;64;80;63;3;0;0;5;21;34;37;49;38;28;0;0;0;1;3;10;16;15;11;2;0;0;0;0;0;1;1;4;9;11
2021_38;488;482;219;52;165;2;43;39;3;15;29;147;52;64;81;63;1;0;4;4;21;29;46;49;48;17;0;0;0;1;4;7;12;21;6;1;0;0;0;0;0;0;0;9;10;10
2021_39;468;466;238;54;184;0;39;40;14;7;31;183;61;63;72;61;5;0;1;5;22;35;61;48;30;31;0;0;0;2;6;7;20;19;6;1;0;0;0;0;1;1;4;11;11;3
2021_40;465;456;192;53;138;1;39;38;18;8;35;179;49;65;74;62;1;1;0;6;11;28;46;41;38;20;0;0;0;2;5;6;16;10;9;1;0;0;0;0;1;1;6;10;7;10
2021_41;487;486;185;49;135;1;36;43;9;19;21;147;46;65;82;63;1;1;0;0;19;37;32;34;38;23;0;0;0;0;3;11;9;13;9;1;0;0;0;0;0;1;1;3;4;12
2021_42;568;564;272;96;176;0;75;70;8;27;40;173;58;68;76;68;2;0;0;7;18;30;44;59;68;44;0;0;0;1;1;5;13;19;17;2;0;0;0;0;1;0;7;7;13;12
2021_43;660;659;403;141;259;3;112;66;5;31;53;236;94;66;78;61;6;1;2;7;33;45;68;98;84;59;0;0;1;1;12;16;24;28;11;1;0;0;0;0;0;1;7;8;22;15
2021_44;764;764;532;185;343;4;148;92;22;33;67;242;99;67;81;63;5;0;3;20;31;66;92;119;109;87;0;0;0;3;5;17;25;29;18;2;0;0;0;0;0;0;5;12;24;26
2021_45;816;815;595;189;400;6;148;85;38;70;94;356;125;66;79;62;6;0;5;16;35;66;103;155;145;64;0;0;0;4;8;25;25;43;20;0;0;0;0;0;1;2;9;18;28;36
2021_46;803;801;601;185;415;1;147;95;43;50;107;364;120;66;79;62;2;1;8;12;38;57;135;156;127;65;0;0;0;1;8;20;32;44;15;0;0;0;0;0;0;1;11;21;41;33
