type,zavid,matzavid,maticna,region,municipality,name,address,post,post.office,openstreetmap,slid,phone,fax,email,website,geo.lat,geo.lon
OS,667,144,5082722001,po,Cerknica,"Osnovna šola Notranjski odred Cerknica, Podružnična šola ""Maksim Gaspari"" Begunje pri Cerknici",Begunje pri Cerknici 26,1382,Begunje pri Cerknici,,,01 705 68 10,01 705 68 11,ps.begunje@guest.arnes.si,http://www.os-cerknica.si,45.81667,14.38248
OS,668,144,5082722002,po,Cerknica,"Osnovna šola Notranjski odred Cerknica, Podružnična šola ""11.maj"" Grahovo",Grahovo 120,1384,Grahovo,,,01 709 69 00,01 709 69 01,ps.grahovo@guest.arnes.si,http://www.os-cerknica.si,45.77125,14.42851
OS,189,189,5082960000,ng,Cerkno,Osnovna šola Cerkno,Bevkova ulica 26,5282,Cerkno,https://www.openstreetmap.org/way/454568315,,05 372 90 00,05 377 57 90,info@os-cerkno.si,http://www.os-cerkno.si/,46.12710,13.98561
OS,895,189,5082960003,ng,Cerkno,"Osnovna šola Cerkno, Podružnična šola Šebrelje",Šebrelje 38,5282,Cerkno,,,05 374 43 30,,ravnatelj.os-cerkno@guest.arnes.si,,46.09582,13.91531
OS,251,251,5084016000,mb,Cerkvenjak,Osnovna šola Cerkvenjak - Vitomarci,Cerkvenjak 24,2236,Cerkvenjak,https://www.openstreetmap.org/way/336780814,153010,02 729 58 40,02 729 58 45,os.cerkvenjak@siol.net,http://www.o-cerkvenjak.mb.edus.si/,46.56739,15.94386
OS,418,418,5089247000,mb,Cirkulane,Osnovna šola Cirkulane - Zavrč,Cirkulane 57,2282,Cirkulane,https://www.openstreetmap.org/way/777465776,28020,02 761 00 41,02 795 22 40,osnovna.sola@cirkulane-zavrc.si,http://www.cirkulane-zavrc.si,46.34364,15.99426
OS,260,260,5089697000,ms,Črenšovci,Osnovna šola Franceta Prešerna Črenšovci,Ulica Juša Kramarja 10,9232,Črenšovci,,15020,02 573 58 00,02 573 58 10,o-fpcrensovci.ms@guest.arnes.si,,46.56868,16.29734
OS,1351,1351,5089751000,ms,Črenšovci,Osnovna šola Prežihovega Voranca Bistrica,Srednja Bistrica 49 B,9232,Črenšovci,https://www.openstreetmap.org/way/307463034,131010,"02 573 58 20, 02 573 58 22",02 573 58 21,opvbistricams@guest.arnes.si,http://www2.arnes.si/~opvbistricams/,46.55068,16.28005
OS,444,444,5087368000,sg,Črna na Koroškem,Osnovna šola Črna na Koroškem,Center 142,2393,Črna na Koroškem,https://www.openstreetmap.org/way/454495011,,02 870 41 40,02 870 41 50,o-crna.mb@guest.arnes.si,http://www.os-crna.si,46.46831,14.85558
OS,779,444,5087368003,sg,Črna na Koroškem,Osnovna šola Črna na Koroškem Podružnica Žerjav,Žerjav 24,2393,Črna na Koroškem,,,02 823 90 37,,,,46.48543,14.87361
OS,155,155,5082773000,nm,Črnomelj,Osnovna šola Komandanta Staneta Dragatuš,Dragatuš 48,8343,Dragatuš,https://www.openstreetmap.org/way/830251474,,07 305 78 10,07 305 78 11,tajnistvo@os-dragatus.si,http://www.os-dragatus.si/,45.52268,15.17929
OS,151,151,5289211000,nm,Črnomelj,Osnovna šola Loka Črnomelj,Kidričeva ulica 18,8340,Črnomelj,https://www.openstreetmap.org/way/688488024,17010,07 6207101,07 6207121,info@os-loka-crnomelj.si,http://www.os-loka-crnomelj.si/,45.56610,15.18870
OS,654,151,5289211002,nm,Črnomelj,"Osnovna šola Loka Črnomelj, Podružnična šola Adlešiči",Adlešiči 16,8341,Adlešiči,,,07 307 00 03,,info@os-loka-crnomelj.si,,45.52136,15.31277
OS,653,151,5289211001,nm,Črnomelj,"Osnovna šola Loka Črnomelj, Podružnična šola Griblje",Griblje 38,8332,Gradac,,,07 306 94 88,07 305 20 32,info@os-loka-crnomelj.si,,45.57157,15.29208
OS,150,150,5082765000,nm,Črnomelj,Osnovna šola Mirana Jarca Črnomelj,Ulica Otona Župančiča 8,8340,Črnomelj,https://www.openstreetmap.org/way/686941706,17020,07 306 17 70,07 305 17 81,os-mjarc.crnomelj@guest.arnes.si,http://www2.arnes.si/~osnmmj1s/,45.57332,15.19207
OS,154,154,5086477000,nm,Črnomelj,Osnovna šola Stari trg ob Kolpi,Stari trg ob Kolpi 7,8342,Stari trg ob Kolpi,https://www.openstreetmap.org/way/830127675,,07 305 51 02,07 305 51 63,o-staritrg.nm@guest.arnes.si,http://os-stari-trg-ok.si/,45.49295,15.07694
OS,156,156,5082781000,nm,Črnomelj,Osnovna šola Vinica,Vinica 50,8344,Vinica,https://www.openstreetmap.org/way/493425328,,"07 364 71 00, 07 364 71 02",,o-vinica.nm@guest.arnes.si,,45.45999,15.25054
OS,414,414,5086990000,mb,Destrnik,Osnovna šola Destrnik - Trnovska vas,Janežovski Vrh 45,2253,Destrnik,https://www.openstreetmap.org/way/424388891,18010,02 761 92 10,02 761 92 10,os.destrnik@guest.arnes.si,http://www2.arnes.si/~osmbde6s/,46.48930,15.87586
OS,458,458,5089336000,kp,Divača,Osnovna šola dr. Bogomirja Magajne Divača,Ulica dr. Bogomira Magajne 4,6215,Divača,https://www.openstreetmap.org/way/483057452,19010,05 731 88 00,05 763 30 80,o-bmdivaca.po@guest.arnes.si,http://www.os-divaca.si/,45.68282,13.96757
OS,803,458,5089336002,kp,Divača,"Osnovna šola dr. Bogomirja Magajne Divača, Podružnična šola Senožeče",Senožeče 103 A,6224,Senožeče,,,05 765 50 23,,damijana.gustincic@guest.arnes.si,,45.71814,14.03751
OS,804,458,5089336003,kp,Divača,"Osnovna šola dr. Bogomirja Magajne Divača, Podružnična šola Vreme",Vremski Britof 19,6217,Vremski Britof,,,05 762  52 38,,damijana.gustincic@guest.arnes.si,,45.65765,14.02943
OS,598,598,5582911000,ce,Dobje,Osnovna šola Dobje,Dobje pri Planini 20 A,3224,Dobje pri Planini,https://www.openstreetmap.org/way/633847476,154010,03 747 19 60,03 747 19 70,os.dobje@guest.arnes.si,,46.13451,15.38908
OS,180,180,5089956000,lj,Dobrepolje,Osnovna šola Dobrepolje,Videm 80,1312,Videm - Dobrepolje,https://www.openstreetmap.org/way/331094079,,01 780 72 10,01 780 72 10,o-dobrepolje.lj@guest.arnes.si,http://www.o-dobrepolje.lj.edus.si/,45.84862,14.69903
OS,680,180,5089956001,lj,Dobrepolje,"Osnovna šola Dobrepolje, Podružnična šola Kompolje",Kompolje 78,1312,Videm - Dobrepolje,,,01 780 77 00,,ivan.grandovec@guest.arnes.si,http://www.o-dobrepolje.lj.edus.si/,45.81439,14.71763
OS,1237,180,5089956003,lj,Dobrepolje,"Osnovna šola Dobrepolje, Podružnična šola Struge",Lipa 16,1313,Struge,,,01 787 00 70,,ivan.grandovec@guest.arnes.si,http://www.o-dobrepolje.lj.edus.si/,45.78338,14.77477
OS,140,140,5082668000,ce,Dobrna,Osnovna šola Dobrna,Dobrna 1,3204,Dobrna,,,03 780 11 50,03 780 11 59,os.dobrna@guest.arnes.si,http://www.os-dobrna.si/,46.33381,15.22392
OS,326,326,5084415000,lj,Dobrova-Polhov Gradec,Osnovna šola Dobrova,Cesta 7. maja 20,1356,Dobrova,https://www.openstreetmap.org/node/870914604,,01 360 12 20,01 360 12 30,o-dobrova.lj@guest.arnes.si,http://www.osdobrova.si,46.05668,14.41197
OS,325,325,5084466000,lj,Dobrova-Polhov Gradec,Osnovna šola Polhov Gradec,Polhov Gradec 95,1355,Polhov Gradec,https://www.openstreetmap.org/way/447962634,,0590 82 650,0590 82 651,os.polhgr@guest.arnes.si,http://www.ospg.si,46.06437,14.31221
OS,954,325,5084466001,lj,Dobrova-Polhov Gradec,Osnovna šola Polhov Gradec Podružnica Črni vrh,Črni Vrh 34,1355,Polhov Gradec,,,01 364 59 31,01 364 00 56,albina.slabe@guest.arnes.si,http://www.ospg.si,46.08852,14.25724
OS,955,325,5084466002,lj,Dobrova-Polhov Gradec,Osnovna šola Polhov Gradec Podružnica Šentjošt,Šentjošt nad Horjulom 54,1354,Horjul,,21022,01 754 00 50,01 754 00 50,info@ospg.si,http://www.ospg.si,46.03165,14.22702
OS,257,257,5086078000,ms,Dobrovnik,Dvojezična osnovna šola Dobrovnik,Dobrovnik 266 J,9223,Dobrovnik - Dobronak,,,02 578 84 30,02 5788 431,o-dobrovnik.ms@guest.arnes.si,http://www.dosdobrovnik.si,46.65150,16.34666
OS,273,273,5083354000,lj,Dol pri Ljubljani,Osnovna šola Janka Modra Dol pri Ljubljani,Videm 17,1262,Dol pri Ljubljani,https://www.openstreetmap.org/way/529714337,22010,"01 564 70 67, 01 564 73 17",01 564 73 07,osjm.dol@guest.arnes.si,http://www2.arnes.si/~osljdol24,46.08670,14.63413
OS,1272,273,5083354003,lj,Dol pri Ljubljani,Osnovna šola Janka Modra Dol pri Ljubljani Podružnica Dolsko,Dolsko 85,1262,Dol pri Ljubljani,,22011,"01 364 71 47, 01 364 73 17",01 364 73 07,osjm.dol@guest.arnes.si,,46.09323,14.67568
OS,3708,273,5083354004,lj,Dol pri Ljubljani,Osnovna šola Janka Modra Dol pri Ljubljani Podružnica Senožeti,Senožeti 53,1262,Dol pri Ljubljani,,,01 564 02 35,01 364 73 07,osjm.dol@guest.arnes.si,,46.08996,14.73331
OS,385,385,5086370000,nm,Dolenjske Toplice,Osnovna šola Dolenjske Toplice,Pionirska cesta 35,8350,Dolenjske Toplice,,,07 384 52 00,07 384 52 10,os.dolenjske-toplice@guest.arnes.si,http://www.os-dt.si,45.75720,15.05350
OS,163,163,5084733000,lj,Domžale,Osnovna šola Dob,Šolska ulica 7,1233,Dob,https://www.openstreetmap.org/way/377724638,,01 724 01 80,01 724 01 81,o-dob.lj@guest.arnes.si,http://www.os-dob.si,46.14976,14.62326
OS,644,163,5084733001,lj,Domžale,Osnovna šola Dob Podružnica Krtina,Krtina 41,1233,Dob,,23011,01 724 91 44,01 724 01 81,o-dob.lj@guest.arnes.si,http://www.os-dob.si,46.14940,14.66063
OS,158,158,5082803000,lj,Domžale,Osnovna šola Domžale,Bistriška cesta 19,1230,Domžale,,,01 724 00 81,01 721 18 42,os-domzale@guest.arnes.si,http://www.os-domzale.si/,46.14222,14.60120
OS,674,158,5082803001,lj,Domžale,"Osnovna šola Domžale, Podružnična šola Ihan",Šolska ulica 5,1230,Domžale,,,01 721 38 90,01 721 38 90,os-domzale@guest.arnes.si,http://www.os-domzale.si,46.11904,14.61987
OS,10549,10549,2197197000,lj,Domžale,Osnovna šola Dragomelj,Dragomelj 180,1230,Domžale,https://www.openstreetmap.org/relation/5301425,,01 589 08 10,01 589 08 19,tajnistvo@osdragomelj.si,,46.10513,14.59403
OS,166,166,5084741000,lj,Domžale,Osnovna šola Preserje pri Radomljah,Pelechova cesta 83,1235,Radomlje,https://www.openstreetmap.org/way/407556347,,01 722 89 64,01 722 77 71,o-preradomlje.lj@guest.arnes.si,http://www.os-preserje.si,46.17207,14.60538
