day,date,phase,tests.performed.todate,tests.performed,tests.positive.todate,tests.positive,tests.regular.performed.todate,tests.regular.performed,tests.regular.positive.todate,tests.regular.positive,tests.hagt.performed,tests.hagt.performed.todate,tests.hagt.positive,tests.hagt.positive.todate,tests.ns-apr20.performed.todate,tests.ns-apr20.performed,tests.ns-apr20.positive.todate,tests.ns-apr20.positive,cases.confirmed.todate,cases.confirmed,cases.active,cases.recovered.todate,cases.closed.todate,cases.hs.employee.confirmed.todate,cases.rh.employee.confirmed.todate,cases.rh.occupant.confirmed.todate,cases.unclassified.confirmed.todate,cases.vaccinated.confirmed.todate,state.in_hospital,state.icu,state.critical,state.in_hospital.todate,state.out_of_hospital.todate,state.deceased.todate,region.lj.todate,region.ce.todate,region.mb.todate,region.ms.todate,region.kr.todate,region.nm.todate,region.za.todate,region.sg.todate,region.po.todate,region.ng.todate,region.kp.todate,region.kk.todate,region.foreign.todate,region.unknown.todate,region.todate,age.0-4.todate,age.5-14.todate,age.15-24.todate,age.25-34.todate,age.35-44.todate,age.45-54.todate,age.55-64.todate,age.65-74.todate,age.75-84.todate,age.85+.todate,age.todate,age.female.0-4.todate,age.female.5-14.todate,age.female.15-24.todate,age.female.25-34.todate,age.female.35-44.todate,age.female.45-54.todate,age.female.55-64.todate,age.female.65-74.todate,age.female.75-84.todate,age.female.85+.todate,age.female.todate,age.male.0-4.todate,age.male.5-14.todate,age.male.15-24.todate,age.male.25-34.todate,age.male.35-44.todate,age.male.45-54.todate,age.male.55-64.todate,age.male.65-74.todate,age.male.75-84.todate,age.male.85+.todate,age.male.todate,age.unknown.0-4.todate,age.unknown.5-14.todate,age.unknown.15-24.todate,age.unknown.25-34.todate,age.unknown.35-44.todate,age.unknown.45-54.todate,age.unknown.55-64.todate,age.unknown.65-74.todate,age.unknown.75-84.todate,age.unknown.85+.todate,age.unknown.todate,deceased.0-4.todate,deceased.5-14.todate,deceased.15-24.todate,deceased.25-34.todate,deceased.35-44.todate,deceased.45-54.todate,deceased.55-64.todate,deceased.65-74.todate,deceased.75-84.todate,deceased.85+.todate,deceased.todate,deceased.female.0-4.todate,deceased.female.5-14.todate,deceased.female.15-24.todate,deceased.female.25-34.todate,deceased.female.35-44.todate,deceased.female.45-54.todate,deceased.female.55-64.todate,deceased.female.65-74.todate,deceased.female.75-84.todate,deceased.female.85+.todate,deceased.female.todate,deceased.male.0-4.todate,deceased.male.5-14.todate,deceased.male.15-24.todate,deceased.male.25-34.todate,deceased.male.35-44.todate,deceased.male.45-54.todate,deceased.male.55-64.todate,deceased.male.65-74.todate,deceased.male.75-84.todate,deceased.male.85+.todate,deceased.male.todate,deceased.rhoccupant.todate,deceased.other.todate,vaccination.administered,vaccination.administered.todate,vaccination.administered2nd,vaccination.administered2nd.todate,vaccination.administered3rd,vaccination.administered3rd.todate,vaccination.used.todate,vaccination.delivered.todate
225,2020-10-14,F9,273608,5287,10682,745,272240,5287,10681,745,,,,,1368,,1,,10688,748,4822,5690,5866,822,310,626,8930,,210,35,22,978,659,175,3387,1501,1241,564,1222,703,365,499,273,305,205,265,126,32,10688,72,491,1426,1797,2000,1988,1327,648,503,436,10688,36,239,697,886,1072,1085,661,306,283,325,5590,36,252,729,911,928,903,666,342,220,111,5098,,,,,,,,,,,,,,,,,4,7,23,54,101,189,,,,,,1,1,9,19,73,103,,,,,,3,6,14,35,28,86,117,72,,,,,,,,
226,2020-10-15,F9,278804,5196,11516,834,277436,5196,11515,834,,,,,1368,,1,,11524,836,5419,5925,6105,,,657,10867,,222,40,24,1011,679,176,3648,1577,1313,587,1392,784,382,536,282,326,216,312,137,32,11524,83,534,1560,1940,2157,2152,1404,693,541,460,11524,41,258,754,956,1155,1178,700,330,305,343,6020,42,276,806,984,1002,974,704,363,236,117,5504,,,,,,,,,,,,,,,,,4,7,24,56,106,197,,,,,,1,1,9,21,78,110,,,,,,3,6,15,35,28,87,121,76,,,,,,,,
227,2020-10-16,F9,284409,5605,12413,897,283041,5605,12412,897,,,,,1368,,1,,12422,898,6089,6149,6333,,,701,11721,,240,43,27,1042,688,180,3891,1697,1407,611,1553,861,406,572,293,364,233,361,141,32,12422,89,586,1680,2069,2358,2337,1510,733,573,487,12422,45,283,810,1025,1264,1284,753,353,327,361,6505,44,303,870,1044,1094,1053,757,380,246,126,5917,,,,,,,,,,,,,,,,,4,7,25,59,107,202,,,,,,1,1,9,23,78,112,,,,,,3,6,16,36,29,90,123,79,,,,,,,,
228,2020-10-17,F10,288174,3765,13139,726,286806,3765,13138,726,,,,,1368,,1,,13149,727,6648,6313,6501,,,748,12401,,250,44,31,1086,720,184,4145,1752,1466,649,1680,898,426,602,300,387,245,416,151,32,13149,95,629,1774,2193,2489,2485,1598,772,600,514,13149,50,305,862,1086,1339,1371,803,368,346,382,6912,45,324,912,1107,1150,1114,795,404,254,132,6237,,,,,,,,,,,,,,,,,4,8,28,59,109,208,,,,,,1,1,10,23,79,114,,,,,,3,7,18,36,30,94,126,82,,,,,,,,
229,2020-10-18,F10,290811,2637,13676,537,289443,2637,13675,537,,,,,1368,,1,,13686,537,7110,6386,6576,,,760,12926,,265,50,32,1115,731,188,4349,1791,1539,681,1750,932,431,648,301,403,247,426,156,32,13686,99,654,1867,2274,2592,2593,1668,798,619,522,13686,53,317,907,1123,1395,1423,842,377,355,389,7181,46,337,960,1151,1197,1170,826,421,264,133,6505,,,,,,,,,,,,,,,,,4,8,28,59,113,212,,,,,,1,1,10,23,80,115,,,,,,3,7,18,36,33,97,128,84,,,,,,,,
230,2020-10-19,F11,295137,4326,14471,795,293769,4326,14470,795,,,,,1368,,1,,14488,802,7722,6574,6766,,,800,13688,,291,56,38,1151,740,190,4559,1861,1631,727,1918,1000,454,689,319,421,265,454,158,32,14488,101,676,1942,2416,2773,2759,1765,841,668,547,14488,53,327,944,1201,1502,1512,903,395,381,408,7626,48,349,998,1215,1271,1247,862,446,287,139,6862,,,,,,,,,,,,,,,,,4,8,29,62,115,218,,,,,,1,1,11,25,80,118,,,,,,3,7,18,37,35,100,129,89,,,,,,,,
231,2020-10-20,F11,301028,5891,15974,1503,299660,5891,15973,1503,,,,,1368,,1,,15993,1505,8870,6921,7123,,,875,15118,,313,55,41,1202,767,192,4975,2061,1784,806,2206,1120,491,753,338,465,305,496,161,32,15993,112,739,2142,2638,3116,3062,1936,928,715,605,15993,58,360,1035,1323,1699,1674,995,437,404,456,8441,54,379,1107,1315,1417,1388,941,491,311,149,7552,,,,,,,,,,,,,,,,,4,8,30,68,119,229,,,,,,1,1,11,27,82,122,,,,,,3,7,19,41,37,107,135,94,,,,,,,,
232,2020-10-21,F11,307243,6215,17635,1661,305875,6215,17634,1661,,,,,1368,,1,,17663,1670,10152,7300,7511,,,959,16704,,333,55,41,1262,799,202,5506,2263,1956,923,2477,1211,517,821,378,517,359,537,166,32,17663,118,808,2350,2913,3465,3394,2152,1014,795,654,17663,62,393,1137,1454,1884,1862,1109,473,453,496,9323,56,415,1213,1459,1581,1532,1043,541,342,158,8340,,,,,,,,,,,,,,,,,4,9,31,69,124,237,,,,,,1,1,12,28,84,126,,,,,,3,8,19,41,40,111,139,98,,,,,,,,
233,2020-10-22,F11,313988,6745,19290,1655,312620,6745,19289,1655,,,,,1368,,1,,19324,1661,11450,7658,7874,,,1013,18311,,356,62,46,1322,831,211,5959,2548,2141,1007,2762,1299,551,886,390,575,419,584,171,32,19324,126,863,2555,3198,3814,3762,2347,1090,870,699,19324,67,423,1230,1608,2080,2074,1199,510,498,533,10222,59,440,1325,1590,1734,1688,1148,580,372,166,9102,,,,,,,,,,,,,,,,,5,9,33,71,128,246,,,,,,1,1,12,29,87,130,,,,,,4,8,21,42,41,116,144,102,,,,,,,,
234,2020-10-23,F11,321013,7025,21251,1961,319645,7025,21250,1961,,,,,1368,,1,,21293,1969,13039,8019,8254,,,1118,20175,,394,65,47,1391,859,216,6549,2840,2379,1091,3165,1403,595,944,421,626,435,637,176,32,21293,133,935,2793,3511,4217,4198,2583,1199,952,772,21293,69,455,1342,1771,2293,2313,1319,560,549,586,11257,64,480,1451,1740,1924,1885,1264,639,403,186,10036,,,,,,,,,,,,,,,,,5,10,36,78,137,266,,,,,,1,2,13,33,94,143,,,,,,4,8,23,45,43,123,150,116,,,,,,,,
235,2020-10-24,F11,326789,5776,22926,1675,325421,5776,22925,1675,,,,,1368,,1,,22995,1702,14330,8424,8665,,,1158,21837,,449,66,50,1494,890,235,6999,3047,2567,1199,3502,1493,651,998,463,681,501,678,184,32,22995,140,981,2983,3801,4592,4568,2798,1310,1014,808,22995,71,481,1444,1915,2495,2523,1427,618,583,612,12169,69,500,1539,1886,2097,2045,1371,692,431,196,10826,,,,,,,,,,,,,,,,,5,10,36,80,140,271,,,,,,1,2,13,34,95,145,,,,,,4,8,23,46,45,126,153,118,,,,,,,,
236,2020-10-25,F11,330471,3682,24041,1115,329103,3682,24040,1115,,,,,1368,,1,,24113,1118,15279,8583,8834,,,1206,22907,,508,73,55,1583,915,241,7362,3132,2709,1271,3786,1535,669,1034,465,723,506,702,187,32,24113,145,1009,3093,3983,4866,4796,2934,1377,1069,841,24113,75,489,1498,2001,2635,2642,1501,649,618,639,12747,70,520,1595,1982,2231,2154,1433,728,451,202,11366,,,,,,,,,,,,,,,,1,6,10,38,83,150,288,,,,,,2,2,14,34,101,153,,,,,1,4,8,24,49,49,135,159,129,,,,,,,,
237,2020-10-26,F12,336227,5756,25540,1499,334859,5756,25539,1499,,,,,1368,,1,,25615,1502,16382,8969,9233,,,1288,24327,,523,82,57,1634,944,251,7790,3307,2901,1362,4031,1638,714,1107,481,764,556,739,193,32,25615,153,1044,3238,4202,5214,5115,3131,1460,1136,922,25615,79,512,1571,2121,2841,2815,1602,692,652,700,13585,74,532,1667,2081,2373,2300,1529,768,484,222,12030,,,,,,,,,,,,,,,,1,6,10,38,87,161,303,,,,,,2,2,14,37,109,164,,,,,1,4,8,24,50,52,139,170,133,,,,,,,,
238,2020-10-27,F12,343698,7471,28145,2605,342330,7471,28144,2605,,,,,1368,,1,,28226,2611,18286,9662,9940,,,1382,26844,,560,88,57,1719,987,264,8531,3699,3118,1546,4467,1859,762,1190,522,840,656,806,198,32,28226,172,1109,3480,4653,5774,5718,3469,1620,1242,989,28226,89,539,1691,2360,3141,3137,1778,751,707,740,14933,83,570,1789,2293,2633,2581,1691,869,535,249,13293,,,,,,,,,,,,,,,,1,6,11,42,91,168,319,,,,,,2,3,14,38,112,169,,,,,1,4,8,28,53,56,150,179,140,,,,,,,,
239,2020-10-28,F12,350900,7202,30633,2488,349532,7202,30632,2488,,,,,1368,,1,,30718,2492,20030,10396,10688,,,1437,29281,,612,102,66,1829,1038,278,9333,4017,3370,1681,4963,1984,805,1279,557,915,734,842,206,32,30718,180,1156,3694,5092,6358,6292,3805,1748,1351,1042,30718,92,559,1793,2588,3469,3448,1947,814,755,781,16246,88,597,1901,2504,2889,2844,1858,934,596,261,14472,,,,,,,,,,,,,,,,1,6,13,44,98,177,339,,,,,,2,3,14,41,116,176,,,,,1,4,10,30,57,61,163,187,152,,,,,,,,
240,2020-10-29,F12,357268,6368,32431,1798,355900,6368,32430,1798,,,,,1368,,1,,32518,1800,20994,11209,11524,,,1539,30979,,660,114,72,1932,1086,292,9933,4303,3553,1764,5278,2085,842,1344,581,949,755,881,218,32,32518,184,1186,3826,5381,6779,6702,4029,1865,1452,1114,32518,95,573,1861,2743,3708,3680,2055,871,820,836,17242,89,613,1965,2638,3071,3022,1974,994,632,278,15276,,,,,,,,,,,,,,,,1,6,13,50,104,190,364,,,,,,2,3,16,43,121,185,,,,,1,4,10,34,61,69,179,198,166,,,,,,,,
241,2020-10-30,F12,363978,6710,34225,1794,362610,6710,34224,1794,,,,,1368,,1,,34315,1797,21893,12084,12422,,,1701,32614,,703,123,70,2033,1126,315,10418,4504,3841,1859,5598,2167,862,1419,597,1091,790,914,223,32,34315,190,1204,3945,5635,7180,7091,4272,2015,1588,1195,34315,96,582,1925,2868,3917,3915,2188,937,901,894,18223,94,622,2020,2767,3263,3176,2084,1078,687,301,16092,,,,,,,,,,,,,,,,1,6,15,54,115,200,391,,,,,,2,4,18,50,125,199,,,,,1,4,11,36,65,75,192,207,184,,,,,,,,
242,2020-10-31,F12,368785,4807,35567,1342,367417,4807,35566,1342,,,,,1368,,1,,35662,1347,22513,12786,13149,,,1782,33880,,779,123,75,2191,1193,338,10841,4627,4109,1961,5759,2213,888,1486,620,1158,810,929,229,32,35662,196,1213,4021,5860,7473,7395,4466,2116,1674,1248,35662,100,586,1962,3001,4071,4081,2292,984,952,938,18967,96,627,2059,2859,3402,3314,2174,1132,722,310,16695,,,,,,,,,,,,,,,,1,6,16,57,121,217,418,,,,,,2,4,19,55,139,219,,,,,1,4,12,38,66,78,199,223,195,,,,,,,,
243,2020-11-01,F12,371029,2244,36124,557,369661,2244,36123,557,,,,,1368,,1,,36219,557,22533,13298,13686,,,1827,34392,,821,131,82,2285,1226,363,10986,4673,4263,2045,5810,2237,893,1511,620,1167,811,942,229,32,36219,196,1219,4052,5945,7587,7490,4560,2168,1711,1291,36219,100,587,1980,3046,4129,4131,2336,1008,968,971,19256,96,632,2072,2899,3458,3359,2224,1160,743,320,16963,,,,,,,,,,,,,,,,1,6,18,59,127,230,441,,,,,,2,4,19,57,148,230,,,,,1,4,14,40,70,82,211,234,207,,,,,,,,
244,2020-11-02,F12,375616,4587,37300,1176,374248,4587,37299,1176,,,,,1368,,1,,37396,1177,22908,14076,14488,,,1923,35473,,868,140,91,2400,1275,388,11323,4815,4384,2114,6037,2327,920,1548,652,1186,848,971,239,32,37396,198,1225,4108,6112,7842,7747,4746,2241,1815,1362,37396,100,590,2008,3127,4261,4265,2426,1042,1038,1027,19884,98,635,2100,2985,3581,3482,2320,1199,777,335,17512,,,,,,,,,,,,,,,,1,7,18,63,136,248,473,,,,,,3,4,20,61,161,249,,,,,1,4,14,43,75,87,224,249,224,,,,,,,,
245,2020-11-03,F12,381927,6311,39327,2027,380559,6311,39326,2027,,,,,1368,,1,,39428,2032,23435,15552,15993,,,2095,37333,,925,146,96,2531,1329,412,11842,5138,4673,2293,6328,2451,959,1599,683,1265,905,1015,245,32,39428,205,1238,4216,6413,8263,8235,5060,2387,1954,1457,39428,103,593,2058,3293,4507,4511,2586,1104,1120,1094,20969,102,645,2158,3120,3756,3724,2474,1283,834,363,18459,,,,,,,,,,,,,,,,1,7,20,66,155,255,504,,,,,,3,6,21,73,164,267,,,,,1,4,14,45,82,91,237,259,245,,,,,,,,
246,2020-11-04,F12,387918,5991,41012,1685,386550,5991,41011,1685,,,,,1368,,1,,41119,1691,23456,17192,17663,,,2271,38848,,979,155,103,2671,1392,441,12285,5314,4934,2475,6574,2511,994,1660,718,1368,952,1049,253,32,41119,211,1251,4312,6675,8604,8604,5283,2525,2075,1579,41119,105,600,2099,3424,4682,4710,2705,1158,1189,1189,21861,106,651,2213,3251,3922,3894,2578,1367,886,390,19258,,,,,,,,,,,,,,,,1,8,20,70,165,271,535,,,,,,3,6,22,80,171,282,,,,,1,5,14,48,85,100,253,275,260,,,,,,,,
247,2020-11-05,F12,393813,5895,42572,1560,392445,5895,42571,1560,,,,,1368,,1,,42686,1567,23362,18827,19324,,,2457,40229,,1023,165,110,2795,1450,471,12741,5531,5175,2621,6776,2617,1014,1699,736,1420,985,1081,258,32,42686,215,1257,4412,6905,8893,8914,5512,2670,2202,1706,42686,107,602,2151,3544,4842,4893,2825,1230,1267,1292,22753,108,655,2261,3361,4051,4021,2687,1440,935,414,19933,,,,,,,,,,,,,,,,1,10,20,73,177,282,563,,,,,,3,6,24,85,174,292,,,,,1,7,14,49,92,108,271,291,272,,,,,,,,
248,2020-11-06,F13,400153,6340,44184,1612,398785,6340,44183,1612,,,,,1368,,1,,44299,1613,23006,20762,21293,,,2628,41671,,1069,165,115,2955,1542,497,13191,5683,5392,2798,6971,2720,1073,1768,765,1485,1031,1121,268,33,44299,216,1265,4515,7130,9180,9233,5761,2830,2344,1825,44299,107,606,2200,3658,5014,5087,2948,1303,1344,1377,23644,109,659,2315,3472,4166,4146,2813,1527,1000,448,20655,,,,,,,,,,,,,,,,1,10,20,77,191,299,598,,,,,,3,6,25,90,184,308,,,,,1,7,14,52,101,115,290,307,291,,,,,,,,
249,2020-11-07,F13,404071,3918,45073,889,402703,3918,45072,889,,,,,1368,,1,,45190,891,22195,22441,22995,,,2703,42487,,1084,174,117,3090,1635,531,13447,5741,5593,2882,7077,2752,1099,1844,768,1508,1037,1136,273,33,45190,220,1269,4570,7252,9354,9420,5883,2921,2425,1876,45190,109,607,2232,3720,5109,5187,3008,1347,1392,1413,24124,111,662,2338,3532,4245,4233,2875,1574,1033,463,21066,,,,,,,,,,,,,,,,3,10,20,80,199,307,619,,,,,1,3,6,26,94,189,319,,,,,2,7,14,54,105,118,300,315,304,,,,,,,,
250,2020-11-08,F13,406134,2063,45537,464,404766,2063,45536,464,,,,,1368,,1,,45656,466,21543,23535,24113,,,2750,42906,,1125,175,124,3192,1677,554,13513,5792,5724,2979,7118,2780,1106,1863,769,1518,1041,1146,274,33,45656,222,1272,4593,7329,9427,9517,5962,2966,2470,1898,45656,109,608,2240,3767,5147,5235,3050,1369,1414,1427,24366,113,664,2353,3562,4280,4282,2912,1597,1056,471,21290,,,,,,,,,,,,,,,,3,10,21,84,206,321,645,,,,,1,3,7,28,98,197,334,,,,,2,7,14,56,108,124,311,328,317,,,,,,,,
251,2020-11-09,F13,410591,4457,46621,1084,409223,4457,46620,1084,,,,,1368,,1,,46745,1089,21130,25010,25615,,,2856,43889,,1143,189,133,3282,1731,578,13777,5959,5822,3073,7301,2893,1128,1897,793,1537,1078,1178,276,33,46745,229,1279,4660,7494,9655,9733,6127,3049,2558,1961,46745,114,613,2276,3856,5272,5346,3141,1402,1459,1474,24953,115,666,2384,3638,4383,4387,2986,1647,1099,487,21792,,,,,,,,,,,,,,,,3,10,22,85,216,337,673,,,,,1,3,7,28,101,210,350,,,,,2,7,15,57,115,127,323,343,330,,,,,,,,
252,2020-11-10,F13,418106,7515,48838,2217,416738,7515,48837,2217,,,,,1368,,1,,48973,2228,20747,27581,28226,,,3178,45795,,1171,193,134,3430,1832,605,14332,6233,6182,3219,7619,3040,1190,1984,833,1680,1133,1214,281,33,48973,236,1293,4802,7838,10021,10186,6441,3255,2721,2180,48973,117,620,2340,4029,5461,5589,3289,1493,1560,1648,26146,119,673,2462,3809,4560,4597,3152,1762,1161,532,22827,,,,,,,,,,,,,,,,3,10,22,92,236,353,716,,,,,1,3,7,31,107,221,370,,,,,2,7,15,61,129,132,346,361,355,,,,,,,,
253,2020-11-11,F13,424873,6767,50763,1925,423505,6767,50762,1925,,,,,1368,,1,,50905,1932,20187,30032,30718,,,3334,47571,,1192,198,134,3581,1928,645,14790,6487,6474,3411,7846,3179,1264,2061,895,1728,1184,1263,290,33,50905,239,1305,4956,8138,10384,10602,6743,3382,2867,2289,50905,117,625,2421,4180,5645,5819,3438,1551,1648,1738,27182,122,680,2535,3958,4739,4783,3305,1831,1219,551,23723,,,,,,,,,,,,,,,,3,10,24,98,256,374,765,,,,,1,3,7,33,116,234,394,,,,,2,7,17,65,140,140,371,384,381,,,,,,,,
254,2020-11-12,F13,430635,5762,52271,1508,429267,5762,52270,1508,,,,,1368,,1,,52421,1516,19903,31794,32518,,,3516,48905,,1210,193,136,3723,2021,686,15119,6724,6768,3557,8039,3272,1288,2098,921,1782,1229,1292,299,33,52421,243,1317,5055,8393,10645,10905,6952,3515,2980,2416,52421,119,628,2472,4309,5785,5973,3561,1607,1720,1835,28009,124,689,2583,4084,4860,4932,3391,1908,1260,581,24412,,,,,,,,,,,,,,,,3,12,27,103,266,397,808,,,,,1,5,8,34,121,250,419,,,,,2,7,19,69,145,147,389,400,408,,,,,,,,
255,2020-11-13,F13,437292,6657,54002,1731,435924,6657,54001,1731,,,,,1368,,1,,54161,1740,19846,33550,34315,,,3715,50446,,1199,200,145,3821,2100,724,15496,6927,7107,3745,8224,3377,1352,2169,966,1827,1281,1355,300,35,54161,253,1332,5171,8660,10951,11257,7210,3649,3121,2557,54161,123,635,2533,4440,5950,6164,3689,1662,1800,1935,28931,130,697,2638,4220,5001,5093,3521,1987,1321,622,25230,,,,,,,,,,,,,,,,4,12,28,112,279,414,849,,,,,1,5,8,37,128,260,439,,,,,3,7,20,75,151,154,410,421,428,,,,,,,,
256,2020-11-14,F13,440855,3563,54921,919,439487,3563,54920,919,,,,,1368,,1,,55083,922,19421,34865,35662,,,3789,51294,,1224,201,154,3976,2195,765,15689,7053,7324,3843,8312,3428,1352,2217,969,1911,1287,1363,300,35,55083,256,1338,5229,8806,11139,11448,7335,3724,3191,2617,55083,123,635,2561,4524,6056,6264,3756,1699,1843,1983,29444,133,703,2668,4282,5083,5184,3579,2025,1348,634,25639,,,,,,,,,,,,,,,,4,12,32,114,292,427,881,,,,,1,5,9,37,135,267,454,,,,,3,7,23,77,157,160,427,435,446,,,,,,,,
257,2020-11-15,F13,442647,1792,55422,501,441279,1792,55421,501,,,,,1368,,1,,55583,500,19364,35388,36219,,,3894,51689,,1261,198,150,4081,2239,797,15772,7075,7437,3906,8363,3492,1363,2269,974,1919,1301,1376,301,35,55583,256,1341,5256,8883,11223,11533,7392,3766,3243,2690,55583,123,637,2572,4570,6097,6308,3779,1718,1872,2040,29716,133,704,2684,4313,5126,5225,3613,2048,1371,650,25867,,,,,,,,,,,,,,,,4,12,33,121,305,440,915,,,,,1,5,9,40,142,276,473,,,,,3,7,24,81,163,164,442,450,465,,,,,,,,
258,2020-11-16,F13,447973,5326,56810,1388,446605,5326,56809,1388,,,,,1368,,1,,56976,1393,19580,36520,37396,,,4113,52863,,1264,205,160,4146,2277,831,16114,7241,7635,3999,8546,3587,1410,2330,1012,1968,1367,1425,307,35,56976,261,1345,5347,9106,11489,11822,7569,3863,3338,2836,56976,126,640,2623,4690,6234,6459,3869,1759,1929,2158,30487,135,705,2724,4416,5255,5363,3700,2104,1409,678,26489,,,,,,,,,,,,,,,,4,12,34,125,319,465,959,,,,,1,5,9,41,146,298,500,,,,,3,7,25,84,173,167,459,485,474,,,,,,,,
259,2020-11-17,F13,454786,6813,58822,2012,453418,6813,58821,2012,,,,,1368,,1,,58994,2018,19566,38509,39428,,,4434,54560,,1275,206,154,4273,2369,876,16517,7513,7987,4174,8766,3777,1482,2444,1042,2024,1445,1475,313,35,58994,265,1359,5471,9391,11865,12217,7863,4020,3521,3022,58994,130,644,2688,4827,6427,6661,4015,1837,2043,2303,31575,135,715,2783,4564,5438,5556,3848,2183,1478,719,27419,,,,,,,,,,,,,,,,4,12,34,129,334,491,1004,,,,,1,5,9,41,151,314,521,,,,,3,7,25,88,183,177,483,509,495,,,,,,,,
260,2020-11-18,F13,461592,6806,60886,2064,460224,6806,60885,2064,,,,,1368,,1,,61062,2068,19943,40155,41119,,,4693,56369,,1280,207,158,4429,2485,919,16869,7849,8425,4345,8952,3903,1530,2583,1084,2135,1498,1537,315,37,61062,273,1375,5635,9709,12217,12641,8153,4189,3688,3182,61062,136,651,2767,4990,6611,6896,4156,1909,2148,2430,32694,137,724,2868,4719,5606,5745,3997,2280,1540,752,28368,,,,,,,,,,,,,,,,5,12,34,133,351,512,1047,,,,,1,5,9,42,161,326,544,,,,,4,7,25,91,190,186,503,537,510,,,,,,,,
261,2020-11-19,F13,467265,5673,62432,1546,465897,5673,62431,1546,,,,,1368,,1,,62611,1549,19925,41691,42686,,,4988,57623,,1238,197,153,4511,2573,964,17207,8119,8696,4479,9089,4003,1582,2619,1113,2204,1534,1610,319,37,62611,281,1389,5763,9941,12480,12896,8369,4288,3840,3364,62611,139,656,2841,5103,6769,7053,4262,1955,2252,2582,33612,142,733,2922,4838,5711,5843,4107,2333,1588,782,28999,,,,,,,,,,,,,,,,5,13,34,139,367,527,1085,,,,,1,5,9,44,167,336,562,,,,,4,8,25,95,200,191,523,557,528,,,,,,,,
262,2020-11-20,F13,473845,6580,64119,1687,472477,6580,64118,1687,,,,,1368,,1,,64302,1691,20003,43273,44299,,,5168,59134,,1254,195,148,4621,2641,995,17512,8365,9035,4623,9261,4122,1639,2745,1122,2273,1584,1659,324,38,64302,284,1404,5904,10220,12762,13236,8629,4425,3959,3479,64302,139,665,2913,5253,6904,7239,4399,2014,2322,2668,34516,145,739,2991,4967,5858,5997,4230,2411,1637,811,29786,,,,,,,,,,,,,,,,5,15,34,142,388,544,1128,,,,,1,7,9,44,176,348,585,,,,,4,8,25,98,212,196,543,578,550,,,,,,,,
263,2020-11-21,F13,477279,3434,65142,1023,475911,3434,65141,1023,,,,,1368,,1,,65327,1025,20137,44138,45190,,,5283,60044,,1219,193,147,4736,2770,1026,17689,8521,9262,4735,9344,4171,1644,2830,1174,2312,1597,1681,328,39,65327,286,1409,5984,10390,12946,13458,8789,4517,4025,3523,65327,139,668,2950,5348,6997,7357,4476,2051,2359,2698,35043,147,741,3034,5042,5949,6101,4313,2466,1666,825,30284,,,,,,,,,,,,,,,,5,15,35,147,398,554,1154,,,,,1,7,9,45,180,353,595,,,,,4,8,26,102,218,201,559,592,562,,,,,,,,
264,2020-11-22,F13,479021,1742,65612,470,477653,1742,65611,470,,,,,1368,,1,,65798,471,20142,44559,45656,,,5337,60461,,1244,195,152,4818,2809,1052,17764,8576,9398,4821,9371,4206,1659,2851,1174,2317,1599,1694,329,39,65798,291,1412,6026,10478,13017,13549,8840,4547,4074,3564,65798,141,671,2971,5400,7028,7398,4499,2069,2391,2735,35303,150,741,3055,5078,5989,6151,4341,2478,1683,829,30495,,,,,,,,,,,,,,,,5,15,35,151,411,590,1207,,,,,1,7,9,46,188,380,631,,,,,4,8,26,105,223,210,576,630,577,,,,,,,,
265,2020-11-23,F13,484617,5596,66913,1301,483249,5596,66912,1301,,,,,1368,,1,,67106,1308,20361,45589,46745,,,5566,61540,,1292,201,152,4922,2840,1097,18088,8784,9542,4949,9525,4300,1696,2912,1195,2352,1642,1745,337,39,67106,295,1422,6106,10682,13227,13807,9025,4645,4179,3718,67106,143,675,3016,5508,7140,7541,4594,2111,2448,2859,36035,152,747,3090,5174,6087,6266,4431,2534,1731,859,31071,,,,,,,,,,,,,,,,5,15,35,160,428,620,1263,,,,,1,7,9,48,199,400,664,,,,,4,8,26,112,229,220,599,661,602,,,,,,,,
266,2020-11-24,F13,492680,8063,69138,2225,491312,8063,69137,2225,,,,,1368,,1,,69340,2234,20367,47774,48973,,,5828,63512,,1299,202,147,5048,2919,1156,18452,9165,9958,5111,9707,4509,1752,3069,1245,2417,1720,1847,349,39,69340,303,1438,6278,11044,13683,14241,9332,4793,4346,3882,69340,146,686,3107,5708,7396,7786,4755,2178,2556,2992,37310,157,752,3171,5336,6287,6455,4577,2615,1790,890,32030,,,,,,,,,,,,,,,,5,15,40,165,447,635,1307,,,,,1,7,11,50,205,409,683,,,,,4,8,29,115,242,226,624,684,623,,,,,,,,
267,2020-11-25,F13,500076,7396,70906,1768,498708,7396,70905,1768,,,,,1368,,1,,71122,1782,20217,49660,50905,,,6017,65105,,1297,199,150,5191,3032,1199,18893,9455,10235,5237,9830,4633,1832,3150,1276,2489,1784,1913,356,39,71122,311,1455,6407,11340,14021,14594,9588,4912,4483,4011,71122,151,691,3175,5850,7563,7982,4888,2237,2634,3094,38265,160,764,3232,5490,6458,6612,4700,2675,1849,917,32857,,,,,,,,,,,,,,,,6,16,41,169,463,666,1361,,,,,1,8,12,50,212,431,714,,,,,5,8,29,119,251,235,647,713,648,,,,,,,,
