date,date.to,municipality,type,school,unit,confirmed,confirmed.attendee,confirmed.employees,description,source,openstreetmap,geo-longitude,geo-latitude
2020-09-04,2020-09-15,Braslovče,OŠ,OŠ Braslovče,POŠ Trnava,4,,4,"3 oddelki, 11 zaposlenih, 9 učencev",https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/way/385559703,46.256283,15.0715
2020-09-04,,Črna na Koroškem,OŠ,OŠ Črna na Koroškem,,1,,1,"6 otrok, 8 zaposlenih",https://www.vecer.com/po-okuzbi-zaposlenega-na-os-crna-delo-vrtca-in-sole-bo-jutri-potekalo-nemoteno-10217349,https://www.openstreetmap.org/way/454495011,46.468317,14.855608
2020-09-04,,Slovenska Bistrica,OŠ,OŠ Antona Ingoliča,,0,,,en oddelek,https://www.vecer.com/vceraj-potrdili-25-okuzb-z-novim-koronavirusom-umrl-ni-nihce-10217580,https://www.openstreetmap.org/way/782760251,46.413367,15.636306
2020-09-04,,Kranj,OŠ,OŠ Matije Čopa,,,,2,samo delavki,https://www.osmatijecopa.si/files/2020/09/Sporo%C4%8Dilo-za-javnost.pdf,https://www.openstreetmap.org/way/445075731,46.237565,14.368005
2020-09-06,,Sevnica,Vrtec,Vrtec Sevnica,,1,,1,35 otrok + 5 zaposlenih,https://www.slovenskenovice.si/novice/slovenija/okuzbi-na-osnovni-soli-v-kranju-347052,,46.012909,15.300602
2020-09-07,2020-09-15,Ljubljana,OŠ,OŠ Koseze,,,,,dva oddelka,https://www.24ur.com/novice/korona/potrdili-novih-primerov-v-karanteni-dva-oddelka-os-koseze.html,https://www.openstreetmap.org/way/248791106,46.074331,14.468674
2020-09-07,,Celje,SŠ,Srednja zdravstvena šola,,1,1,,en oddelek,https://www.vecer.com/vceraj-potrdili-25-okuzb-z-novim-koronavirusom-umrl-ni-nihce-10217580,https://www.openstreetmap.org/way/340875952,46.233563,15.259098
2020-09-07,,Hoče - Slivnica,OŠ,OŠ Franca Lešnika - Vuka,,1,1,,9.b razred,https://www.osflv.si/pomembno-obvestilo/,https://www.openstreetmap.org/way/445757857,46.478082,15.652383
2020-09-08,,Celje,SŠ,Ekonomska šola Celje,,1,1,,en 1. razred,https://www.celje.info/aktualno/celje-vceraj-brez-novih-okuzb-v-karanteni-se-en-razred-celjske-sole/,,46.23326,15.265552
2020-09-08,2020-09-20,Ljubljana,OŠ,OŠ Maksa Pečarja,,1,1,,1. razred,https://www.makspecar.si/index.php/dogodki/obvestila/ucenec-s-koronavirusom-na-nasi-soli,https://www.openstreetmap.org/way/112156965,46.105174,14.533827
2020-09-08,2020-09-17,Braslovče,OŠ,OŠ Braslovče,,12,4,8,"2 oddelka (8.b, 9.b)",https://osbraslovce.si/objava/294271,,46.281597,15.041009
2020-09-09,2020-09-17,Kranj,OŠ,OŠ Matije Čopa,,2,1,1,nekateri učenci 6.a/b/c,https://www.osmatijecopa.si/files/2020/09/Sporo%C4%8Dilo-za-javnost_8_9_2020.pdf,https://www.openstreetmap.org/way/445075731,46.237565,14.368005
2020-09-09,2020-09-20,Kranj,OŠ,OŠ Matije Čopa,,,,,nekateri učenci 6.a/b/c,https://www.osmatijecopa.si/files/2020/09/Sporo%C4%8Dilo-za-javnost_9_9_2020.pdf,https://www.openstreetmap.org/way/445075731,46.237565,14.368005
2020-09-10,2020-09-18,Braslovče,OŠ,OŠ Braslovče,,20,9,11,"2 oddelka (8.a, 7.c)",https://osbraslovce.si/objava/294271,,46.281597,15.041009
2020-09-10,2020-09-21,Ljubljana,OŠ,OŠ Nove Jarše,,2,2,,"3 razredi (po en oddelek 2, 7 in 9). Jutri se izteče karantena 7 in 9 razredu, za 2. ne vem če je že konec. Pa še nekaj ""solo učencev"" zaradi stikov z  okuženimi doma, na treningih...",https://twitter.com/JasminaS72/status/1308098288462299136,,46.0730456,14.5430193
2020-09-11,2020-09-23,Idrija,OŠ,OŠ Spodnja Idrija,,1,1,,en 5. razred,https://www.os-spidrija.si/9225-2/,,46.033718,14.022097
2020-09-11,2020-09-16,Ljubljana,SŠ,Gimnazija Antona Aškerca,,1,1,,en razred,https://siol.net/novice/slovenija/razred-okuzenega-na-ljubljanski-gimnaziji-poslan-v-karanterno-le-za-tri-dni-534147,,46.046253,14.499877
2020-09-11,2020-09-22,Kranj,OŠ,OŠ Orehek,,1,1,,9.a razred + učenci 9.razredov,https://www.osorehek.si/obvestilo-za-javnost/,,46.219086,14.364688
2020-09-11,,Maribor,OŠ,OŠ France Prešern,,1,1,,"3 razred, ",https://lokalec.si/novice/okuzen-tretjesolec-razred-mariborske-osnovne-sole-v-karanteni/,https://osm.org/go/0I4HuhPOb?m=&way=151847555,46.550356,15.639542
2020-09-11,,Kamnik,OŠ,OŠ Frana Albrehta,,1,1,,nekaj učencev,https://www.os-fa.si/informacija-covid-19-osfa/,,46.225902,14.608674
2020-09-12,,Kranj,Vrtec,Kranjski vrtci,enota Janina,1,,1,dva oddelka,http://www.kranjski-vrtci.si/vrtec/okuzba-s-covid-19-v-enoti-janina/,,46.248328,14.35792
2020-09-12,,Bled,OŠ,OŠ Bled,,1,1,,en razred,https://www.mojaobcina.si/bled/novice/okuzba-na-blejski-osnovni-soli-en-razred-v-karanteni.html,,46.372735,14.109605
2020-09-13,2020-09-22,Braslovče,OŠ,OŠ Braslovče,,31,17,14,1 oddelek (6.a),https://osbraslovce.si/objava/294271,,46.281597,15.041009
2020-09-13,,Maribor,SŠ,I. Gimnazija,,,,,en razred,https://maribor24.si/lokalno/v-karanteni-razred-prve-gimnazije-maribor,,46.561615,15.648026
2020-09-13,,Pivka,OŠ,OŠ Pivka,,2,1,1,"9.b, del 9.a 39 učencev, 3 zaposleni",http://www.os-pivka.si/obvestilo-starsem/,,45.683845,14.193554
2020-09-15,,Celje,SŠ,Gimnazija Lava,,,,,en razred + 10 zaposlenih,https://www.celje.info/aktualno/na-gimnaziji-lava-v-karanteni-en-razred-in-10-zaposlenih-zd-store-brez-dodatnih-okuzb/,,46.235497,15.256834
2020-09-15,2020-09-20,Celje,OŠ,OŠ Frana Kranjca,,3,1,2,trije razredi + 6 zaposlenih,https://www.os-franakranjca.si/index.php/aktualno/803-obvestilo-okuzbe-s-koronavirusom-14-09-2020,,46.215116,15.261494
2020-09-15,,Ljubljana,OŠ,OŠ Ledina,,1,1,,"1 učenec, razredna stopnja",http://www.o-ledina.si/novice/1209,https://osm.org/go/0Ik3V_Cfi?m=,46.053406,14.512531
2020-09-15,2020-09-20,Kotlje,OŠ,"OŠ ""Koroški Jeklarji""",POŠ Kotlje,1,,1,"76 učencev, 8 zaposlenih",https://www.zurnal24.si/slovenija/vsi-ucenci-in-zaposleni-sole-v-karanteni-353373,https://osm.org/go/0IyMwUPaB?m=&way=770774007,46.521051,14.985663
2020-09-16,,Jesenice,SŠ,Gimnazija Jesenice,,1,1,,34 dijakov 4. letnikov,http://www.gorenjskiglas.si/apps/pbcs.dll/article?AID=/20200916/C/200919840/1003/zaradi-covida-19-zivljenje-na-nitki&template=printart,,46.435875,14.060568
2020-09-16,2020-09-23,Lendava,OŠ,DOŠ I Lendava,,1,1,,7. razred,http://lendavainfo.com/primer-okuzbe-z-covid-19-na-dos-i-lendava/,https://osm.org/go/0I6PNGYIR?m=&way=289662512,46.556227,16.459955
2020-09-16,,Kamnik,SŠ,SŠ Rudolfa Maistra,,3,3,,Dva razreda,https://www.rtvslo.si/zdravje/novi-koronavirus/na-novo-potrjene-104-okuzbe-en-clovek-je-umrl-prvic-vec-kot-1000-aktivno-okuzenih/536300,https://osm.org/go/0IltWujRB?m=&way=177402103,46.221004,14.6113
2020-09-16,,Kamnik,SŠ,CIRIUS,,4,2,2,30 otrok in sedem zaposlenih v karanteni,https://www.rtvslo.si/zdravje/novi-koronavirus/na-novo-potrjene-104-okuzbe-en-clovek-je-umrl-prvic-vec-kot-1000-aktivno-okuzenih/536300,https://osm.org/go/0IltcQi1U?m=,46.219538,14.612101
2020-09-16,,Murska Sobota,SŠ,Gimnazija Murska Sobota,,1,1,,en 1.letnik (21 diajkov),https://vestnik.si/clanek/aktualno/del-razred-okuzene-dijakinje-na-murskosoboski-gimnaziji-v-karanteno-810179,,46.660534,16.152144
2020-09-16,,Ravne na Koroškem,SŠ,ŠC Ravne,,1,1,,en oddelek,https://www.koroskenovice.si/novice/okuzba-z-novim-koronavirusom-tudi-v-solskem-centru-ravne/,,46.540886,14.95717
2020-09-16,,Ljubljana,OŠ,OŠ Majde Vrhovnik,,,,,74 učencev,http://www.os-majdevrhovnik.si/?p=3153,,46.048915,14.499318
2020-09-16,,Ljubljana,SŠ,Gimnazija Vič,,,,,4.d razred,obvestilo staršem (LukaR),,46.043204,14.48034
2020-09-17,,Ljubljana,OŠ,Waldorfska šola Ljubljana,,1,,1,6.a razred,obvestilo staršem (LukaR),,46.048773,14.511999
2020-09-17,,Log - Dragomer,OŠ,OŠ Log - Dragomer,,2,1,1,en oddelek + en oddelek od 21.9.,http://www.osld.si/index.php/2-uncategorised/279-obvestilo-za-starse-in-zaposlene-s-protokolom-ravnanj-v-primeru-okuzbe,,46.013257,14.376489
2020-09-17,,Novo Mesto,SŠ,ŠC Novo mesto,,2,2,,dva oddelka,https://www.dolenjskilist.si/2020/09/16/242066/novice/dolenjska/Sola_tudi_pod_sotorom/,,45.794244,15.158991
2020-09-17,,Gorje,OŠ,OŠ Gorje,,,,,en razred,https://twitter.com/krek_a/status/1307991410830913536,,46.380813,14.066073
2020-09-18,2020-09-26,Vodice,OŠ,OŠ Vodice,,,,,dva 1. razreda + učiteljici in vzgojiteljici,https://www.os-vodice.si/2020/09/18/covid-19-tudi-na-os-vodice/,,46.185466,14.496062
2020-09-18,,Šentjur,OŠ,OŠ Franja Malgaja,,1,1,,"4.a, 4.b, 5. razred",https://www.fmalgaja.si/?p=15909,,46.220954,15.395331
2020-09-18,2020-09-27,Ljubljana,OŠ,OŠ Danile Kumar,,,,,8.razred,http://sl.os-danilekumar.si/,https://www.openstreetmap.org/relation/4834980,46.087114,14.510781
2020-09-18,,Ljubljana,SŠ,Gimnazija Ledina,,,,,"dva razreda, baje celo več",https://twitter.com/MarjeticaM/status/1307989265289293825,,46.053699,14.510757
2020-09-18,2020-09-27,Vransko,Vrtec,OŠ Vransko-Tabor,Vrtec Vransko,4,1,3,dva oddelka,http://www.os-vransko.si/vrtec-vransko,,46.242674,14.949815
2020-09-18,2020-09-27,Hrpelje - Kozina,OŠ,OŠ Dragomirja Benčiča - Brkina,,2,1,1,70 učencev in 5 učiteljev ostane samoinicijativno preventivno doma,https://www.rtvslo.si/zdravje/novi-koronavirus/cetrtek-znova-rekorden-odkrili-vec-kot-190-novih-okuzb/537091,,45.6051253,13.944324
2020-09-19,2020-09-25,Kočevje,OŠ,OŠ Ob Rinži,POŠ Livold,1,,1,zaprta cela POŠ,http://rinza.splet.arnes.si/files/2020/09/OBVESTILO_za_starse_23.9.2020.pdf,,45.630585,14.871543
2020-09-19,2020-09-25,Ljubljana,SŠ,SIC Ljubljana,,1,1,,en oddelek,https://www.siclj.si/obvestila/korona-covid-19-2020/,,46.068657,14.512001
2020-09-19,2020-09-24,Ljubljana,OŠ,OŠ Kašelj,,1,1,,par učencev in učiteljev,mail od zaposlene + http://www.oskaselj.si/obvestila.html,,46.052865,14.592813
2020-09-19,2020-09-27,Ljubljana,OŠ,OŠ Maksa Pečarja,,2,2,,9.c razred,https://www.makspecar.si/index.php/dogodki/obvestila/9c-do-279-v-karanteni,,46.105174,14.533827
2020-09-20,,Ljubljana,OŠ,OŠ Franceta Bevka,,7,5,2,6 razredov -162 otrok + 8 učiteljev,https://novice.svet24.si/clanek/novice/slovenija/5f686d91a86da/okuzba-tudi-v-bezigrajski-osnovni-soli-okuzena-uciteljica-poucuje-veliko-oddelkov,https://www.rtvslo.si/zdravje/novi-koronavirus/v-nedeljo-50-okuzb-in-984-testov/536664,46.078315,14.507324
2020-09-20,,Ljubljana,Vrtec,Vrtec Pedenjped,Pedenjcarstvo (LJ-Polje),1,1,,18 otrok + 2 vzgojitelja,https://www.rtvslo.si/zdravje/novi-koronavirus/v-karanteni-418-ucencev-v-osnovnih-in-srednjih-solah-pedagoskih-delavcev-in-vrtcevskih-otrok/536664,,46.053574,14.591527
2020-09-20,2020-09-24,Ravne na Koroškem,Vrtec,Vrtec Solzice,,1,,1,20 otrok + 3 zaposlene,https://www.rtvslo.si/zdravje/novi-koronavirus/v-nedeljo-50-okuzb-in-984-testov/536664,,46.54042,14.96735
2020-09-21,,Mežica,OŠ,OŠ Mežica,,1,,1,3 razredi + 3 učiteljice,http://os-mezica.si/2020/09/21/obvestilo-3/,,46.518419,14.85335
2020-09-21,,Ljubljana,OŠ,OŠ Majde Vrhovnik,,,,,74 otrok v karanteni,https://www.rtvslo.si/zdravje/novi-koronavirus/v-karanteni-418-ucencev-v-osnovnih-in-srednjih-solah-pedagoskih-delavcev-in-vrtcevskih-otrok/536664,,46.0489837,14.4971096
2020-09-23,2020-10-02,Hoče - Slivnica,Vrtec,OŠ Dušana Flisa,Vrtec Hoče,,,,en oddelek,http://www.os-hoce.si/2020/09/25/34645/,,46.497076,15.645154
2020-09-24,,Žirovnica,OŠ,OŠ Žirovnica,,1,1,,en razred in učitelji,http://www.os-zirovnica.si/2020/09/24/7905/,,46.3980041,14.1450655
2020-09-25,,Mengeš,Vrtec,Vrtec Mengeš,enota Gobica,,,,en oddelek,http://www.vrtec-menges.com/aktualno/4908.pccms,,46.167832,14.57085
2020-09-25,2020-09-30,Ljubljana,OŠ,Waldorfska šola Ljubljana,,2,,2,8.b razred,obvestilo staršem (LukaR),,46.048773,14.511999
2020-09-25,2020-10-01,Ljubljana,OŠ,Waldorfska šola Ljubljana,,2,,2,2.b razred,obvestilo staršem (LukaR),,46.048773,14.511999
2020-09-25,2020-09-30,Gornja Radgona,OŠ,OŠ Gornja Radgona,,1,1,,6.a razred,https://www.gros-radgona.si/2020/09/25/prvi-primer-okuzbe-s-koronavirusom-med-ucenci/,,46.674022,15.990487
2020-09-25,,Ljubljana,SŠ,SŠ tehniških strok Šiška,,2,2,,en oddelek,https://www.ssts.si/obvestilo-starsem/,,46.081518,14.491328
2020-09-25,2020-10-03,Ljubljana,OŠ,OŠ Kašelj,,3,3,,1 razred - 28.9.2020 - 1.10.2020. Nato zaradi novega primera v istem razredu podaljšano do 5.10.2020,mail od zaposlene + http://www.oskaselj.si/obvestila.html,,46.052865,14.592813
2020-09-26,,Sevnica,Vrtec,Vrtec Ciciban,,2,,2,Kolegi v karanteni,https://www.eposavje.com/ostale-novice/covid-19-potrjena-primera-v-sevniskem-vrtcu,,46.0124452,15.3008024
2020-09-27,2020-10-03,Slovenj Gradec,OŠ,Druga OŠ Slovenj Gradec,POŠ Pameče,,,,1.c oddelek,https://www.koroskenovice.si/novice/okuzba-potrjena-tudi-na-podruznici-druge-os-slovenj-gradec/,,46.492484,15.004181
2020-09-27,2020-10-04,Murska Sobota,OŠ,OŠ I. Murska Sobota,,1,1,,dva 1. razreda + 6 zaposlenih,https://sobotainfo.com/novica/lokalno/zaradi-okuzbe-prvosolca-v-karanteni-dva-oddelka-osnovne-sole-i-v-murski-soboti,,46.661268,16.155669
2020-09-27,,Brežice,OŠ,OŠ Velika dolina,,1,,1,dva zaposlena v karanteni,https://www.osvelikadolina.si/2020/09/27/obvestilo-27-9-2020/,,45.852909,15.663846
2020-09-29,,Ljubljana,OŠ,OŠ Prule,,1,,1,Celotno kuhinjsko osebje,https://www.osprule.si/author/osnovnasola-pruleosprule-si/,,46.042194,14.509383
2020-09-29,2020-10-08,Ljubljana,OŠ,OŠ Kašelj,,4,4,,8 razred in učenci iz drugih razredov zaradi mešanja,mail od zaposlene ,,46.052865,14.592813
2020-09-29,2020-10-09,Maribor,OŠ,OŠ Leona Štuklja,,1,1,,1.a in 1.b razred,preko staršev (MarkoB),,46.540136,15.623968
2020-09-30,,Rogaška Slatina,Vrtec,Vrtec Rogaška Slatina,Studenček v Kostrivnici,2,,1,V karanteni 6 otrok in dve strokovni sodelavki ,https://kozjansko.info/2020/10/v-os-rogatec-se-situacija-s-koronavirusom-slabsa-v-drzavi-padajo-rekordi/,,46.2628178,15.5905168
2020-09-30,,Zagorje ob Savi,OŠ,OŠ Ivana Kavčiča Izlake,,1,1,,en 9.razred,http://kum24.si/clanek/novice/5f74786df1684/na-izlaski-soli-okuzena-ucenka,,46.1550069,14.9280254
2020-09-30,,Sevnica,Vrtec,OŠ Krmelj,Vrtec,1,,1,"1 strokovna sodelavka okužena, X otrok in Y sodelavcev odrejena karamtena",https://www.oskrmelj.si/2020/09/30/obvestilo-za-javnost/,,45.9902648,15.1847637
2020-10-01,,Kranj,SŠ,Gimnazija Kranj,,1,1,,en oddelek,https://trma.si/nasi-rojaki-po-svetu/virus-na-kranjski-gimnaziji-oddelek-v-karanteni/,,46.242549,14.35275
2020-10-02,2020-10-08,Ljubljana,Vrtec,Vrtec Vrhovci,"enota Rožnik, skupina Medvedki",1,1,,en oddelek,preko staršev (Andrazus),,46.0454964,15.1847637
2020-10-02,2020-10-08,Ljubljana,OŠ,OŠ Majde Vrhovnik,,1,1,,dva 9. razreda,https://ljubljanainfo.com/novica/lokalno/na-osnovni-soli-majde-vrhovnik-ucenci-9razreda-v-karanteni/73020,,46.0489837,14.4712788
2020-10-02,,Ljubljana,Vrtec,Vrtec Galjevica,,1,,1,še 3 sodelavke,https://ljubljanainfo.com/novica/lokalno/koronavirus-okuzbo-potrdili-pri-zaposleni-v-vrtcu-na-rudniku/73150,,46.036941,14.5161943
2020-10-02,2020-10-08,Brezovica,OŠ,OŠ Preserje,,,,,9.b razred,http://ospreserje.splet.arnes.si/,,45.95427,14.412685
2020-10-03,,Koper,SŠ,Gimnazija Koper,,2,?,?,dva okužena,https://www.gimnazija-koper.si/2068,,45.548182,13.7301704
2020-10-04,,Ljubljana,OŠ,Waldorfska šola Ljubljana,,3,,3,en 1. razred,"okužena razredničarka, karantena (LukaR)",,46.048773,14.511999
2020-10-05,,Šentjur,OŠ,OŠ Franja Malgaja,,1,1,,"9. B oddelek in učenci 3. skupine (slj, mat, anj) iz 9. A in 9. C",https://www.fmalgaja.si/?p=16331,,46.220954,15.395331
2020-10-05,,Šentjernej,Vrtec,Vrtec Čebelica Šentjernej,enota Čebelica2,1,,1,oddelek št.8,https://www.vrtec-sentjernej.si/primer-okuzbe-s-covid19-med-zaposlenimi/,,45.8447839,15.3371401
2020-10-05,,Ljubljana,OŠ,OŠ Vič,,1,1,,en 9. razred,https://twitter.com/karfjolca/status/1313116419140313090,,46.042623,14.473209
2020-10-05,,Vrhnika,OŠ,OŠ Antona Martina Slomška,,2,1,1,karantena 5 oddelkov 7-9 razred,https://www.osams.si/2020/10/05/obvestilo-3/ (MihaK),,45.973354,14.292859
2020-10-05,,Rogatec,Vrtec,OŠ Rogatec,Vrtec in POŠ Donačka gora,1,,1,"2., 3. in 4. razred, cca 60 otrok in 4 učiteljice",https://kozjansko.info/2020/10/v-os-rogatec-se-situacija-s-koronavirusom-slabsa-v-drzavi-padajo-rekordi/,,46.238607,15.705321
2020-10-05,,Rogatec,OŠ,OŠ Rogatec,,3,,3,56 otrok in 9 zaposlenih,https://kozjansko.info/2020/10/zaradio-potrjene-okuzbe-pri-uciteljici-zaprli-solo-in-vrtec-na-donacki-gori-v-karanteni-tudi-na-maticni-soli/,,46.235399,15.696034
2020-10-05,2020-10-11,Šentjernej,OŠ,OŠ Šentjernej,,1,1,,7. razred,https://www.os-sentjernej.si/pomembno-obvestilo/,,45.830654,15.305785
2020-10-05,2020-10-11,Hoče - Slivnica,OŠ,OŠ Dušana Flisa,,,,,en oddelek,http://www.os-hoce.si/category/prispevki/,,46.497105,15.643017
2020-10-05,2020-10-03,Ljubljana,OŠ,OŠ Kašelj,,5,4,1,tretji razred in učiteljica,mail od zaposlene,,46.052865,14.592813
2020-10-06,2020-10-11,Ljubljana,OŠ,OŠ Riharda Jakopiča,,,,,8.b razred,starši (StefanB),,46.06765,14.489
2020-10-06,2020-10-12,Zreče,OŠ,OŠ Zreče,,1,1,,en razred,https://novice.si/page/v-katerih-obcinah-na-stajerskem-vceraj-nove-okuzbe-karantena-sola-zrece/,,46.37339,15.387563
2020-10-07,,Rogatec,Vrtec,OŠ Rogatec,Vrtec in POŠ Donačka gora,2,,2,še ena delavka,https://kozjansko.info/2020/10/v-os-rogatec-se-situacija-s-koronavirusom-slabsa-v-drzavi-padajo-rekordi/,,46.238607,15.705321
2020-10-07,,Rogatec,OŠ,OŠ Rogatec,,5,,5,Še dva učitelja,https://kozjansko.info/2020/10/v-os-rogatec-se-situacija-s-koronavirusom-slabsa-v-drzavi-padajo-rekordi/,,46.235399,15.696034
2020-10-07,2020-10-10,Markovci,OŠ,OŠ Markovci,,2,2,,"4.b in 3.b razred, drugi učenci in delavci",https://www.tednik.si/druzba/22539-markovci-v-karanteni-okrog-60-otrok,,46.395216,15.930109
2020-10-07,2020-10-10,Markovci,OŠ,OŠ Markovci,Vrtec ,3,3,,ena skupina + otroci in vzgojiteljice,https://www.tednik.si/druzba/22539-markovci-v-karanteni-okrog-60-otrok,,46.395216,15.930109
2020-10-07,2020-10-15,Sveti Jurij ob Ščavnici,OŠ,OŠ Sveti Jurij ob Ščavnici,,1,1,,2.b razred,https://www.os-svjurij.si/2020/10/07/obvestilo-o-prvem-primeru-okuzbe-v-soli/,,46.568484,16.0149619
2020-10-07,,Maribor,SŠ,SŠOM - Srednja šola za oblikovanje Maribor,,,,,,profesor/ica (Marko B),,46.547363,15.6403114
2020-10-08,2020-10-18,Ljubljana,OŠ,OŠ Danile Kumar,,,,,kuhinja,http://sl.os-danilekumar.si/koronavirus/,https://www.openstreetmap.org/relation/4834980,46.087114,14.510781
2020-10-08,,Pivka,OŠ,OŠ Pivka,,3,2,1,6.b,http://www.os-pivka.si/category/o-oli/novice-in-obvestila/,,45.683845,14.193554
2020-10-08,2020-10-17,Ljubljana,OŠ,OŠ Kašelj,,6,5,1,1 četrti razred ,mail od zaposlene,,46.052865,14.592813
2020-08-10,,Ljubljana,SŠ,Gimnazija Vič,,,,,dva 2. letnika,informacija od dijakov (LukaR),,46.043204,14.48034
2020-08-10,2020-10-15,Ljubljana,OŠ,OŠ Vižmarje-Brod,,1,,1,en oddelek,http://www.osbrod.si/obvestilo-3/,,46.109584,14.465477
2020-10-09,,Piran,OŠ,OŠ Sečovlje,,1,1,,en oddelek,https://www.ossecovlje.si/2020/10/09/covid-19/,,45.476582,13.626481
2020-10-09,2020-10-18,Ptuj,OŠ,OŠ Ljudski Vrt,,2,,2,4c v karanteno,http://www.os-ljudskivrtptuj.si/obvestilo-3/,,46.42878,15.87757
2020-10-10,2020-10-15,Ljubljana,OŠ,OŠ Tone Čufar,,1,1,,9.a razred (+ nekaj učencev),"starši (Twitter, LukaV)",,46.055144,14.507932
2020-10-10,,Škofljica,OŠ ,OŠ Škofljica,,,,,"en razred (8.d, tudi 8.e)","Twitter Sledilnik, via DM, novinar. (Marko B)",,45.979294,14.574607
2020-10-10,2020-10-18,Ptuj,OŠ,OŠ Ljudski Vrt,,1,,1,2c in 4c v karanteno,https://ptujinfo.com/novica/lokalno/okuzba-s-covid-19-potrjena-na-gimnaziji-ptuj-razred-v-karanteni/150131,,46.42878,15.87757
2020-10-10,2020-10-16,Ljubljana,OŠ ,OŠ Koseze,,1,1,,predmetna stopnja,https://www.oskoseze.si/sl/oddelek-v-karanteni/,,46.074331,14.468674
2020-10-10,2020-10-18,Kočevje,OŠ,OŠ Zbora odposlancev,,2,1,1,5.c razred,http://www.oszboraodposlancev.si/2020/10/13/okuzbi-na-nasi-soli/,,45.63769,14.85782
2020-10-11,2020-10-17,Radovljca,SŠ,EGSŠ Radovljica,,1,,1,ena uciteljica,https://www.egss.si/index.php/2020/10/11/18640/,,46.342657,14.169746
2020-10-11,,Sodražica,OŠ ,OŠ Ivana Prijatelja,,1,,1,,http://www.os-sodrazica.si/2020/10/11/novo-obvestilo-starsem-11-10-2020/,,45.763114,14.632685
2020-10-12,,Ljubljana,SŠ,Gimnazija Vič,,,,,en 4. letnik,informacija od dijakov (LukaR),,46.043204,14.48034
2020-10-12,2020-10-18,Ivančna Gorica,SŠ,SŠ Josipa Jurčiča,,2,2,,1a in 2a,http://www.ssjj.si/2020/10/11/dva-razreda-v-karanteni-do-predvidoma-18-10-2020/,,45.925601,14.678689
2020-10-12,2020-10-14,Ptuj,SŠ,Gimnazija Ptuj,,1,1,,2. razred,https://ptujinfo.com/novica/lokalno/okuzba-s-covid-19-potrjena-na-gimnaziji-ptuj-razred-v-karanteni/150131,,46.4254,15.86919
2020-10-12,2020-10-18,Ljubljana,OŠ,OŠ Maksa Pečarja,,1,,1,štiri razredov v karanteno,https://www.makspecar.si/index.php/dogodki/obvestila/razredi-4bcd-6bd-v-karanteno-do-1810,,46.10511,14.53387
2020-10-12,2020-10-19,Gornji Petrovci,OŠ,OŠ Gornji Petrovci,,1,,1,"1 zaposlena, 2 oddleka",http://www.os-gpetrovci.si/2020/10/12/obvestilo-za-starse-in-ucence-v-karanteni/,,46.816361,16.20746
